State,Hispanic,White,Black,Native,Asian,Pacific
Alabama,3.25223880597015,65.53283582089553,28.47164179104478,0.5970149253731344,0.6447761194029851,0.025373134328358207
Alaska,4.603448275862069,49.34137931034482,1.4172413793103449,30.75172413793103,5.951724137931035,0.6413793103448274
Arizona,30.433333333333337,51.54666666666667,1.7666666666666668,13.179999999999998,1.2466666666666666,0.12000000000000002
Arkansas,4.935999999999999,76.15466666666666,16.069333333333343,0.48,0.68,0.068
California,29.518965517241373,55.55689655172416,2.9879310344827594,1.5793103448275871,6.898275862068967,0.34310344827586214
Colorado,19.703124999999996,74.9765625,1.6156250000000003,0.8656250000000002,1.0656250000000003,0.11562499999999999
Connecticut,10.887500000000001,76.9625,6.3999999999999995,0.1125,3.4249999999999994,0.0
Delaware,8.299999999999999,66.10000000000001,19.8,0.3666666666666667,2.733333333333333,0.0
District of Columbia,10.2,35.6,48.0,0.2,3.6,0.0
Florida,13.255223880597017,68.67462686567163,14.265671641791046,0.3716417910447762,1.508955223880597,0.05074626865671644
Georgia,6.079245283018869,63.113836477987434,27.992452830188675,0.16037735849056614,1.125786163522013,0.026415094339622643
Hawaii,9.479999999999999,29.880000000000003,0.86,0.14,28.9,14.739999999999998
Idaho,12.42272727272727,83.44545454545454,0.33409090909090905,1.3613636363636363,0.6022727272727274,0.07727272727272728
Illinois,4.665686274509807,87.36470588235296,5.154901960784313,0.14117647058823513,1.1490196078431376,0.011764705882352941
Indiana,3.680434782608694,91.20108695652172,2.619565217391305,0.1869565217391303,0.8891304347826083,0.02282608695652174
Iowa,4.262626262626263,92.01818181818183,1.2101010101010097,0.2707070707070707,0.9535353535353533,0.04646464646464645
Kansas,9.361904761904762,85.31238095238095,1.7476190476190478,0.7571428571428572,0.743809523809524,0.039999999999999994
Kentucky,2.1775000000000007,92.09666666666666,3.6566666666666645,0.15833333333333333,0.45916666666666656,0.03333333333333334
Louisiana,3.2828124999999995,62.040625,31.725000000000005,0.603125,0.7781250000000002,0.03125
Maine,1.3187499999999999,94.63749999999999,0.69375,0.71875,0.80625,0.00625
Maryland,5.466666666666666,68.92916666666666,19.787499999999998,0.1666666666666667,3.2083333333333326,0.024999999999999998
Massachusetts,8.571428571428571,79.31428571428572,5.621428571428572,0.18571428571428578,3.8357142857142854,0.0071428571428571435
Michigan,3.307228915662649,88.45180722891564,3.916867469879519,1.2590361445783131,0.975903614457831,0.013253012048192769
Minnesota,4.011494252873563,89.59540229885056,1.4356321839080457,1.8770114942528744,1.35632183908046,0.04482758620689656
Mississippi,2.3317073170731706,54.79512195121951,41.04512195121949,0.4914634146341465,0.509756097560976,0.01097560975609756
Missouri,2.6295652173913036,90.86956521739128,3.5199999999999987,0.4739130434782609,0.6095652173913043,0.09217391304347824
Montana,2.496428571428571,87.225,0.24821428571428564,7.639285714285715,0.4214285714285713,0.09464285714285713
Nebraska,6.082795698924731,90.1516129032258,0.7645161290322582,1.1580645161290326,0.5053763440860217,0.052688172043010725
Nevada,16.876470588235293,73.0235294117647,2.029411764705882,3.723529411764705,1.8941176470588232,0.28235294117647064
New Hampshire,2.19,93.31,0.9199999999999999,0.25000000000000006,1.72,0.01
New Jersey,16.31904761904762,63.36666666666667,11.414285714285715,0.10952380952380958,6.847619047619048,0.009523809523809525
New Mexico,46.64545454545454,43.02121212121213,1.2848484848484851,6.760606060606062,0.7727272727272727,0.02424242424242424
New York,7.383870967741937,81.79032258064518,5.775806451612904,0.3854838709677421,2.7096774193548376,0.012903225806451611
North Carolina,6.8580000000000005,68.46200000000002,20.233999999999995,1.494,1.085,0.044000000000000004
North Dakota,2.4169811320754713,88.42641509433963,0.5754716981132078,6.547169811320755,0.49622641509433985,0.02830188679245283
Ohio,2.478409090909091,90.61931818181819,4.068181818181818,0.1431818181818181,0.8579545454545453,0.015909090909090907
Oklahoma,8.383116883116882,71.70649350649349,3.4064935064935074,8.502597402597404,0.7207792207792212,0.09610389610389607
Oregon,11.327777777777776,81.61666666666665,0.727777777777778,1.677777777777778,1.5694444444444446,0.21944444444444447
Pennsylvania,3.9298507462686567,88.75522388059701,4.420895522388059,0.1238805970149253,1.349253731343284,0.011940298507462687
Puerto Rico,99.05000000000003,0.6666666666666667,0.04871794871794873,0.003846153846153846,0.044871794871794886,0.001282051282051282
Rhode Island,6.94,85.14000000000001,3.0,0.3,2.3,0.02
South Carolina,4.384782608695652,57.18478260869565,35.74565217391305,0.35,0.7500000000000003,0.047826086956521754
South Dakota,2.401515151515151,80.62727272727274,0.5636363636363636,13.680303030303032,0.6378787878787883,0.05454545454545456
Tennessee,3.226315789473684,86.76105263157893,7.254736842105261,0.251578947368421,0.6105263157894737,0.024210526315789477
Texas,33.755118110236204,57.37677165354333,6.256692913385826,0.3826771653543307,0.9279527559055115,0.055905511811023566
Utah,8.710344827586207,85.61724137931033,0.47931034482758617,2.637931034482758,0.8482758620689653,0.3241379310344827
Vermont,1.5857142857142854,94.50714285714287,0.7142857142857142,0.40714285714285714,0.8785714285714287,0.021428571428571432
Virginia,4.852631578947371,72.14436090225567,18.596240601503755,0.24360902255639125,2.032330827067669,0.03609022556390977
Washington,13.587179487179489,77.10256410256412,1.2333333333333334,2.033333333333333,2.4974358974358974,0.2923076923076923
West Virginia,1.1090909090909091,94.58000000000001,2.287272727272727,0.13999999999999996,0.3872727272727275,0.01818181818181818
Wisconsin,3.468055555555556,89.72222222222221,1.5138888888888893,2.6277777777777773,1.1972222222222229,0.015277777777777779
Wyoming,8.265217391304349,87.08260869565218,0.5565217391304348,1.3956521739130436,0.6608695652173913,0.043478260869565216
